index	jar_name	mod_id	mod_name	mod_version
301	geckolib-neoforge-1.21.1-4.9.2.jar	geckolib	GeckoLib 4	4.9.2
302	globalpacks-neoforge-1.21.1-21.0.6.jar	globalpacks	Global Packs	21.0.6
303	Glodium-1.21-2.2-neoforge.jar	glodium	Glodium	1.21-2.2-neoforge
304	gml-6.0.2.jar	gml	GroovyModLoader	6.0.2
305	goety-3.1.4.jar	goety	Goety	3.1.4
306	goety_cataclysm-1.21.1-1.8.2.jar	goety_cataclysm	Goety Cataclysm	1.21.1-1.8.2
307	GoetyIron-1.21.1-NeoForge-3.1.jar	goetyiron	Goety Iron	3.1
308	grapplemod-1.1+1.21.1.neoforge.jar	grapplemod	Grappling Hook Mod	1.1+1.21.1.neoforge
309	gtbcs_geomancy_plus-1.1.0-1.21.1.jar	gtbcs_geomancy_plus	GTBC's Geomancy Plus	1.1.0-1.21.1
310	gtbcs_spell_lib-2.2.0-1.21.1.jar	gtbcs_spell_lib	GTBC's SpellLib	2.2.0-1.21.1
311	Guide-API-VP-1.21.1-2.3.0.jar	guideapi_vp	Guide-API-VP	2.3.0
312	hazennstuff-1.4.0.14.jar	hazennstuff	Hazen N Stuff	1.4.0.14
313	hazentouvelib-1.0.9.jar	hazentouvelib	HazentouveLib	1.0.9
314	hexalia-neoforge-1.3.6.jar	hexalia	Hexalia	1.3.5
315	Ice and Fire - Dragon Care-1.3.1 - 1.21.1v.jar	dragoncare	Dragon Care	1.3.1 - 1.21.1v
316	iceandfire-2.1.2.jar	iceandfire	Ice And Fire Community Edition	2.1.2
317	iceandfire-ce-epicfight-armor-compat-1.0.0.jar	iceandfire_epicfight_armor_compat	Ice and Fire CE x Epic Fight Armor Compat	1.0.0
318	iceandfire_dreadland-0.1.2.jar	iceandfire_dreadland	Ice And Fire: Dread Land	0.1.2
319	Iceberg-1.21.1-neoforge-1.3.2.jar	iceberg	Iceberg	1.3.2
320	IDA v2.1.1-1.21.1.jar	integrated_dungeons_arise	Integrated Dungeons Arise	2.1.1
321	idas-1.13.7+1.21.1-neoforge.jar	idas	Integrated Dungeons and Structures	1.13.7+1.21.1-neoforge
322	igleelib-1.21.1-1.2.7.jar	igleelib	Iglee's Library	1.21.1-1.2.7
323	ignissoulfires-1.8.0.jar	ignissoulfires	Cataclysm: Ignis Soulfires	1.8.0
324	ignissoulfires_spellbooks-1.1.0.jar	ignissoulfires_spellbooks	Ignis Soulfires: Spellbooks	1.1.0
325	IMM v1.3.0-1.21.1.jar	integrated_mowzies_mobs	Integrated Mowzie's Mobs	1.3.0
326	ImmediatelyFast-NeoForge-1.6.13+1.21.1.jar	immediatelyfast	ImmediatelyFast	1.6.13+1.21.1
327	Immersive-Aeronautics1.1.4-1.21.1-NeoForge.jar	immersive_portals_core	Immersive Portals	6.0.7
328	immersive_furniture-neoforge-0.3.3+1.21.1.jar	immersive_furniture	Immersive Furniture	0.3.3+1.21.1
329	immersive_portal_irons_spells_n_spellbooks_addon-1.0.1.jar	immersive_portal_irons_spells_n_spellbooks_addon	Immersive Portal - Iron's Spells 'n Spellbooks Addon	1.0.1
330	immersive_portals_true_immersion-2.0.4.jar	immersive_portals_full_immersion	Immersive Portals: True Immersion	2.0.4
331	insanelib-2.4.32.0.jar	insanelib	InsaneLib	2.4.32.0
332	integrated_api-neoforge-1.21.1-1.8.0.jar	integrated_api	Integrated API	1.8.0
333	integrated_cataclysm-1.0.6+1.21.1-neoforge.jar	integrated_cataclysm	Integrated Cataclysm	1.0.6+1.21.1-neoforge
334	integrated_simply_swords-1.4.0+1.21.1-neoforge.jar	integrated_simply_swords	Integrated Simply Swords	1.4.0+1.21.1-neoforge
335	integrated_stronghold-1.1.4+1.21.1-neoforge.jar	integrated_stronghold	Integrated Stronghold	1.1.4+1.21.1-neoforge
336	integrated_villages-1.3.3+1.21.1-neoforge.jar	integrated_villages	Integrated Villages	1.3.3+1.21.1-neoforge
337	inventorysorter-1.21.1-24.0.24.jar	inventorysorter	Simple Inventory Sorter	24.0.24
338	iris-neoforge-1.8.14-beta.1+mc1.21.1.jar	iris	Iris	1.8.14-beta.1+mc1.21.1
339	irons_apothic-2.2.1.jar	irons_apothic	Iron's Apothic	2.2.1
340	irons_jewelry-1.21.1-2.0.2.jar	irons_jewelry	Iron's Gems 'n Jewelry	1.21.1-2.0.2
341	irons_lib-1.21.1-2.1.0.jar	irons_lib	Iron's Lib	1.21.1-2.1.0
342	irons_spellbooks-1.21.1-3.16.3.jar	irons_spellbooks	Iron's Spells 'n Spellbooks	1.21.1-3.16.3
343	irons_spells_js-4.0.3.jar	irons_spells_js	Iron's Spellbooks KubeJS	4.0.3
344	ironsable-1.2.0.jar	ironsable	Ironsable	1.2.0
345	ironsable-wind-1.0.0.jar	ironsable_wind	Ironsable x Wind's Spellbooks	1.0.0
346	iss_magicfromtheeast-1.1.5.jar	iss_magicfromtheeast	ISS: Magic From The East	1.1.5
347	Jade-1.21.1-NeoForge-15.10.6.jar	jade	Jade	15.10.6+neoforge
348	jeed-1.21-2.3.2.jar	jeed	Just Enough Effects Descriptions	1.21-2.3.2
349	jei-1.21.1-neoforge-19.53.0.426.jar	jei	Just Enough Items	19.53.0.426
350	jinxedlib-neoforge-1.21.1-1.0.4.jar	jinxedlib	JinxedLib	1.0.4
351	jmi-neoforge-1.21.1-1.9.jar	jmi	JourneyMap Integration	1.21.1-1.9
352	journeymap-neoforge-1.21.1-6.0.7.jar	journeymap	Journeymap	1.21.1-6.0.7
353	jupiter-2.3.7-1.21.1-neoforge.jar	jupiter	Jupiter	2.3.7
354	justenoughbreeding-neoforge-1.21.1-3.2.1.jar	justenoughbreeding	Just Enough Breeding	3.2.1
355	JustEnoughProfessions-neoforge-1.21.1-4.0.5.jar	justenoughprofessions	Just Enough Professions (JEP)	4.0.5
356	JustEnoughResources-NeoForge-1.21.1-1.6.0.17.jar	jeresources	Just Enough Resources	1.6.0.17
357	kilagraph-neoforge-1.21.1-21.1.0.14.jar	kilagraph	KilaGraph	21.1.0.14
358	Kiwi-1.21.1-NeoForge-15.8.7.jar	kiwi	Kiwi Library	15.8.7+neoforge
359	knightlib-neoforge-1.21.1-1.6.1.jar	knightlib	Knight Lib	1.6.1
360	konkrete_neoforge_1.9.9_MC_1.21.jar	konkrete	Konkrete	1.9.9
361	kotlinforforge-5.12.0-all.jar			
362	kubejs-create-neoforge-2101.3.1-build.18.jar	kubejs_create	KubeJS Create	2101.3.1-build.18
363	kubejs-neoforge-2101.7.2-build.374.jar	kubejs	KubeJS	2101.7.2-build.374
364	kubejs_curios_neoforge_1.21.1-1.0.4.jar	kubejs_curios	KubeJSCurios	1.0.4
365	kubejsadditions-neoforge-1.21.1-6.0.0.jar	kubejsadditions	KubeJS Additions	1.21.1-6.0.0
366	kubejsarsnouveau-1.3.2.jar	kubejsarsnouveau	kubejsarsnouveau	1.3.2
367	kubejsdelight-1.1.6.jar	kubejsdelight	KubeJSDelight	1.1.6
368	L_Ender's Cataclysm 1.21.1-3.33.jar	cataclysm	L_Ender's Cataclysm 1.21.1	3.33
369	lambdynamiclights-4.8.11+1.21.1.jar	lambdynlights	LambDynamicLights	4.8.11+1.21.1
370	ldlib2-neoforge-1.21.1-2.2.39.a-all.jar	ldlib2	LowDragLib2	2.2.39.a
371	legendary_monsters-2.2.2 MC 1.21.1.jar	legendary_monsters	legendary_monsters	1.21.1
372	legendary_spellbooks-1.21.1+neo-0.3.2.jar	legendary_spellbooks	Legendary Spellbooks	0.3.2
373	letsdo-bakery-neoforge-2.1.6.jar	bakery	[Let's Do] Bakery	2.1.6
374	letsdo-brewery-neoforge-2.1.9.jar	brewery	[Let's Do] Brewery	2.1.9
375	letsdo-candlelight-neoforge-2.1.12.jar	candlelight	[Let's Do] Candlelight	2.1.12
376	letsdo-farm_and_charm-neoforge-1.1.23.jar	farm_and_charm	[Let's Do] Farm & Charm	1.1.23
377	letsdo-furniture-neoforge-1.1.4.jar	furniture	[Let's Do] Furniture	1.1.4
378	letsdo-herbalbrews-neoforge-1.1.3.jar	herbalbrews	[Let's Do] HerbalBrews	1.1.3
379	letsdo-meadow-neoforge-1.4.8.jar	meadow	[Let's Do] Meadow	1.4.8
380	letsdo-vinery-neoforge-1.5.3.jar	vinery	[Let's Do] Vinery	1.5.3
381	letsdo-wildernature-neoforge-1.1.5.jar	wildernature	[Let's Do] Wilder Nature	1.1.5
382	leylines-1.0.3.jar	leylines	Leyline Spellbooks	1.0.3
383	lionfishapi-3.1.jar	lionfishapi	lionfishapi	3.1
384	lithostitched-1.8.0+beta6-neoforge-21.1.jar	lithostitched	Lithostitched	1.8.0+beta6
385	lmft-1.1.1+1.21.9-neoforge.jar	lmft	Load My F***ing Tags	1.1.1+1.21.9
386	lockonmovementfix-neoforge-1.0.2.jar	lockonmovementfix	Lock-On Movement Fix	1.0.2
387	lodestone-1.21.1-1.8.2.jar	lodestone	Lodestone	1.8.2
388	loot_journal-neoforge-1.21.1-6.2.1.jar	loot_journal	Loot Journal	6.2.1
389	lootintegrations-1.21.1-4.7.jar	lootintegrations	Lootintegrations mod	4.7
390	lootintegrations_cataclysm-1.2.jar	lootintegrations_cataclysm	lootintegrations_cataclysm mod	1
391	lootintegrations_iceandfire-1.2.jar	lootintegrations_iceandfire	lootintegrations_iceandfire mod	1.2
392	lootintegrations_integrated-1.5.jar	lootintegrations_integrated	lootintegrations_integrated mod	1
393	lootintegrations_vanilla-1.7.jar	lootintegrations_vanilla	lootintegrations_vanilla mod	1
394	lootintegrations_yungs-1.6.jar	lootintegrations_yungs	lootintegrations_yungs mod	1
395	lootjs-neoforge-1.21.1-3.7.0.jar	lootjs	LootJS	1.21.1-3.7.0
396	lootr-neoforge-1.21.1-1.11.38.125.jar	lootr	Lootr	1.21.1-1.11.38.125
397	Lychee-1.21.1-NeoForge-6.7.0.jar	lychee	Lychee Tweaker	6.7.0+neoforge
398	malum-1.21.1-1.8.2.jar	malum	Malum	1.8.2
399	maxhealthfix-neoforge-1.21.1-21.1.4.jar	maxhealthfix	MaxHealthFix	21.1.4
400	mcjadecrops-1.1.1300.jar	mcjadecrops	MineColonies: Jade crops	1.1.1300
401	mechanicals-1.21.1-1.1.6.jar	mechanicals	Mechanicals Lib	1.1.6
402	melody_neoforge_1.0.10_MC_1.21.jar	melody	Melody	1.0.10
403	minecolonies-1.1.1381-1.21.1-snapshot.jar	minecolonies	MineColonies	1.1.1381-1.21.1-snapshot
404	MineColonies_Compatibility-1.21.1-3.56.jar	minecolonies_compatibility	Compatibility addon for MineColonies	3.56
405	MineColonies_LetsDo-1.21.1-2.1.jar	minecolonies_letsdo	Let's Do addon for MineColonies	2.1
406	MineColonies_Tweaks-1.21.1-3.33.jar	minecolonies_tweaks	Tweaks addon for MineColonies	3.33
407	minersdelight-1.21.1-1.4.5.jar	minersdelight	Miners Delight	1.4.5
