index	jar_name	mod_id	mod_name	mod_version
451	pickable_orbs-1.21.1-1.0.0.jar	pickable_orbs	Pickable Orbs	1.21.1-1.0.0
452	Placebo-1.21.1-9.9.2.jar	placebo	Placebo	9.9.2
453	Platform-neoforge-1.21.1-1.3.3.jar	platform	Platform	1.3.3
454	player-animation-lib-forge-2.0.4+1.21.1.jar	playeranimator	Player Animator	2.0.4+1.21.1
455	PlayerAnimationLibNeoforge-1.1.6+mc.1.21.1.jar	player_animation_library	Player Animation Library	1.1.6+mc.1.21.1
456	polymorph_plus-neoforge-1.3.1+1.21.1.jar	polymorph_plus	Polymorph+	1.3.1+1.21.1
457	polytone-1.21-4.2.0-neoforge.jar	polytone	Polytone	1.21-4.2.0
458	pondus_inventory_fi-0.15-Beta.jar	pondus_inventory_fi	Pondus Inventory	0.15-Beta
459	portable_engine_liquid_fuel-2.0.0-neoforge-1.21.1.jar	portable_engine_liquid_fuel	Create Aeronautics: Portable Engine Liquid Fuel	2.0.0
460	PortableHole-v21.1.0-1.21.1-NeoForge.jar	portablehole	Portable Hole	21.1.0
461	potentials-neoforge-1.21-0.7.1.jar	potentials	Potentials	0.7.1
462	powergrid-mc1.21.1-0.6.1.jar	powergrid	Create: Power Grid	0.6.1
463	PresenceFootsteps-1.21.1-1.12.0-beta.1-1.21NeoForge.jar	presencefootsteps	Presence Footsteps (NeoForge)	1.21.1-1.12.0-beta.1
464	prickle-neoforge-1.21.1-21.1.11.jar	prickle	PrickleMC	21.1.11
465	productive-metalworks-kubejs-addon-1.0.0.jar	pmw_kubejs_addon	Productive Metalworks KubeJS Addon	1.0.0
466	productivemetalworks-1.21.1-1.15.1.jar	productivemetalworks	Productive Metalworks	1.21.1-1.15.1
467	prometheus-neoforge-1.21-1.2.5.jar	prometheus	Prometheus	1.2.5
468	protection_pixel-2.2.1-neoforge-1.21.1.jar	protection_pixel	Protection Pixel	2.2.1
469	puddleflood-1.1.5+1.21.1-neoforge.jar	puddleflood	Puddles & Floods	1.1.5
470	pufferfish_unofficial_additions-1.21.1-2.2.8.jar	pufferfish_unofficial_additions	Pufferfish's Unofficial Additions	2.2.8
471	puffish_attributes-0.8.3-1.21-neoforge.jar	puffish_attributes	Pufferfish's Attributes	0.8.3
472	puffish_skills-0.19.0-1.21-neoforge.jar	puffish_skills	Pufferfish's Skills	0.19.0
473	punchy-2.7e-neoforge-1.21.1.jar	punchy	Punchy	2.7e
474	punchy_epicfight_neoforge.jar	punchy_epicfight_compat	Punchy Epic Fight Compat	1.0.0
475	PuzzlesLib-v21.1.60-mc1.21.1-NeoForge.jar	puzzleslib	Puzzles Lib	21.1.60
476	Quark-4.1-483.jar	quark	Quark	4.1-483
477	ragdoll_reactions-1.21.1-0.7.0.jar	ragdoll_reactions	Ragdoll Reactions	0.7.0
478	railways-0.3.0-beta.2+neoforge-mc1.21.1.jar	railways	Create: Steam 'n' Rails 1.21.1	0.3.0-beta.2+neoforge-mc1.21.1
479	rechiseled-1.2.5-neoforge-mc1.21.jar	rechiseled	Rechiseled	1.2.5
480	recolor_tablet-1.3.2+1.21.1.jar	recolor_tablet	Iron's Spells 'n Spellbooks: Recolor	1.3.2+1.21.1
481	reeses-sodium-options-neoforge-2.2.3+mc1.21.1.jar	reeses_sodium_options	Reese's Sodium Options	2.2.3+mc1.21.1
482	relics-1.21.1-0.12.8.jar	relics	Relics	0.12.8
483	reliquified-lenders-cataclysm-new-relics-fix-1.0.2.jar	reliquified_lenders_cataclysm_new_relics_fix	Reliquified L_Ender 's Cataclysm new relics fix	1.0.2
484	reliquified_ars_nouveau-1.21.1-0.8.1.jar	reliquified_ars_nouveau	Reliquified Ars Nouveau	0.8.1
485	reliquified_artifacts-1.21.1-1.0.8.jar	reliquified_artifacts	reliquified_artifacts	1.0.8
486	reliquified_irons_spells_and_spellbooks-1.21.1-0.2.7.jar	reliquified_irons_spells_and_spellbooks	Reliquified Iron's Spells 'n Spellbooks	0.2.7
487	reliquified_lenders_cataclysm-1.21.1-0.1.1.jar	reliquified_lenders_cataclysm	Reliquified L_Ender's Cataclysm	0.1.1
488	resourcefulconfig-neoforge-1.21-3.0.11.jar	resourcefulconfig	Resourcefulconfig	3.0.11
489	resourcefullib-neoforge-1.21-3.0.12.jar	resourcefullib	Resourceful Lib	3.0.12
490	rhino-2101.2.8-build.91.jar	rhino	Rhino	2101.2.8-build.91
491	ritchiesprojectilelib-2.1.2-mc.1.21.1-neoforge.jar	ritchiesprojectilelib	Ritchie's Projectile Library	2.1.2
492	rubberworks-neoforge-1.21.1-1.1.4.jar	rubberworks	Create: Rubberworks	1.1.4
493	sable-dynamic-lights-1.21.1-2.0.1.jar	sabledynlights	Sable Dynamic Lights	2.0.1
494	sable-neoforge-1.21.1-2.0.5.jar	sable	Sable	2.0.5
495	sable-x-cpm-0.3.2+1.21.1.jar	sablexcpm	Sable x CPM	0.3.2+1.21.1
496	sable_createaddition_compat-0.1.13.jar	sable_createaddition_compat	Sable Create Addition Compat	0.1.13
497	sable_flowing_fluids_compat-1.0.2.jar	sable_flowing_fluids_compat	Sable / Flowing Fluids Compat	1.0.2
498	sable_player_ragdoll-1.21.1-0.7.5.jar	sable_player_ragdoll	Sable Ragdolls	0.7.5
499	sable_player_ragdoll_patch-1.21.1-1.9.jar	sable_player_ragdoll_patch	Sable Ragdolls Patch	1.9
500	SableAssemblyFix-1.0.0.jar	sableassemblyfix	Sable Assembly Fix	1.0.0
501	sablebeyond-neoforge-1.21.1-v0.5.0.jar	sable_beyond	Sable Beyond	0.5.0
502	sablejade-1.3.0.jar	sablejade	Jade Sable Compat	1.3.0
503	sablemassview-1.0.0.jar	sablemassview	SableMassView	1.0.0
504	sablephysicscompat-1.3.0.jar	sablephysicscompat	Sable: Physics Compat	1.3.0
505	SableStuffAdditionsCompat v1.0.3-1.21.1.jar	sable_sa_compat	Sable: Stuff&Additions Compatibility	1.0.3
506	Searchables-neoforge-1.21.1-1.0.2.jar	searchables	Searchables	1.0.2
507	servercore-neoforge-1.5.19+1.21.1.jar	servercore	ServerCore	1.5.19+1.21.1
508	shadowsz-1.1.9.jar	shadowsz	Shadowsz	1.1.9
509	simplycataclysm-1.0.2+1.21.1+neoforge.jar	simplycataclysm	Simply Swords: Cataclysm	1.0.2+1.21.1+neoforge
510	simplymore-forge-1.3.0_alpha.jar	simplymore	Simply More	1.3.0_alpha
511	simplyswords-neoforge-1.70.2-1.21.1.jar	simplyswords	Simply Swords	1.70.2-1.21.1
512	SimplyTooltips-neoforge-0.1.5.jar	simplytooltips	Simply Tooltips	0.1.5
513	simulatedcoasters-0.1.5.jar	simulatedcoasters	Create: Coasters Simulated	0.1.5
