index	jar_name	mod_id	mod_name	mod_version
151	create_more_automation-0.5.2-neoforge-1.21.1.jar	create_more_automation	Create: More Automation	0.5.2
152	create_optical-0.4.2.jar	create_optical	Create Optical Mod	0.4.2
153	create_pattern_schematics-2.0.10.jar	create_pattern_schematics	Create: Pattern Schematics	2.0.10
154	create_pillagers_arise NeoForge 1.21.1-132.36.jar	create_pillagers_arise	Create: Pillagers Arise	132.36
155	create_radar-0.4.9.4-1.21.1.jar	create_radar	Create: Radars	0.4.9.4-1.21.1
156	create_ratatouille-1.21.1-1.4.0.jar	ratatouille	Ratatouille	1.4.0
157	create_recycle_everything-2.1.0.jar	create_recycle_everything	Create: Recycle Everything	1.1
158	create_rns-1.3.1-1.21.1-6.jar	create_rns	Create: Rock & Stone	1.3.1-1.21.1-6
159	create_sa_curios_jetpacks-neoforge-1.21.1-1.2.4.jar	create_sa_curios_jetpacks	Create SA Curios Jetpacks	1.2.22
160	create_sna-1.2-neoforge-1.21.1.jar	create_nj	Create Stuff & Netherite Additions	1.2
161	create_sophback_compat-1.0.jar	create_sophback_compat	Create Oh The Biomes We ve Gone Compat	
162	create_stats-1.5.1.jar	create_stats	Create: Stats & Power	1.5.1
163	create_submarine-2.2.4.jar	create_submarine	Create Deep Seas	2.2.4
164	create_things_and_misc-4.1.1-neoforge-1.21.1.jar	create_things_and_misc	create: things and misc	4.1.1
165	create_tweaked_controllers-1.21.1-1.2.7.jar	create_tweaked_controllers	Create Tweaked Controllers	1.21.1-1.2.7
166	create_ultimate_factory-2.2.4-neoforge-1.21.1.jar	create_ultimate_factory	Create: Ultimate Factory	2.2.4
167	create_wizardry-1.21.1-0.5.1-pre1.jar	create_wizardry	Create: Wizardry	1.21.1-0.5.1-pre1
168	createaddition-1.7.0.jar	createaddition	Create Crafts & Additions	1.7.0
169	createadditionallogistics-1.21.1-1.4.5.jar	createadditionallogistics	Create: Additional Logistics	1.4.5
170	createaddoncompatibility-neoforge-1.21.1-1.0.0.jar	createaddoncompatibility	Create: Addon Compatibility	1.0.0
171	CreateAeronauticsCopycatWing-1.21.1-1.0.4.jar	copycat_wing	Create Aeronautics: Copycat Wing	1.0.4
172	createaeronauticscurios-neoforge-1.21.1-2.2.jar	aeronautics_curios_compat	Create Aeronautics Curios Compat	2.0
173	CreateAeronauticsHarness-1.21.1-1.0.1.jar	ca_harness	Create Aeronautics: Harness	1.0.1
174	createbetterfps-1.21.1-1.1.4.jar	createbetterfps	CreateBetterFps	1.1.4
175	createbigcannons-5.11.7+mc.1.21.1.jar	createbigcannons	Create Big Cannons	5.11.7
176	createchromaticreturn-1.0.4-neoforge-1.21.1.jar	createchromaticreturn	Create: Chromatic Return	1.0.0
177	createcobblestone-1.5.0+neoforge-1.21.1-153.jar	createcobblestone	Create cobblestone	1.5.0+neoforge-1.21.1-153
178	createcolonies-2.0.6.jar	createcolonies	CreateColonies	2.0.6
179	createcontraptionterminals-1.21-1.4.0.jar	createcontraptionterminals	Create Contraption Terminals	1.4.0
180	CreateCyberGoggles-1.21.1-8.5.3-NeoForge.jar	create_cyber_goggles	Create: Cyber Goggles	8.5.3
181	createdeco-2.1.3.jar	createdeco	Create Deco	2.1.3
182	createdieselgenerators-1.21.1-1.3.15.jar	createdieselgenerators	Create Diesel Generators	1.21.1-1.3.15
183	CreateDragonsPlus-1.11.8b.jar	create_dragons_plus	Create: Dragons Plus	1.11.8b
184	createenchantablemachinery-3.6.0+mc1.21.1-neoforge.jar	createenchantablemachinery	Create: Enchantable Machinery	3.6.0
185	createendertransmission-2.1.1-1.21.1.jar	createendertransmission	Create Ender Transmission	2.1.1-1.21.1
186	CreateFastSchematicCannon-2.6.1-neoforge-1.21.1.jar	createfastschematiccannon	Create: Fast Schematic Cannon	2.6.1-neoforge
187	createfiltersanywhere-1.21.1-2.6.0.jar	createfiltersanywhere	Create: Filters Anywhere	2.6.0
188	createfisheryindustry-5.1.1.jar	createfisheryindustry	Create: Fishery Industry	5.1.1
189	createfood-neoforge-1.21.1-2.7.1.jar	createfood	Create: Food	2.7.1
190	creategoggles-1.21.1-6.1.1-[NEOFORGE].jar	creategoggles	Create Goggles	6.1.1
191	createjeicompat-1.0.3.jar	createjeicompat	Create JEI Compat	1.0.3
192	CreateLazyTick-2.6.25-6.0.10-neoforge-1.21.1.jar	createlazytick	Create:Lazy Tick	2.6.25-6.0.10
193	createliquidfuel-3.0.0-1.21.1.jar	createliquidfuel	Create Liquid Fuel	3.0.0-1.21.1
194	createmechanicalcompanion-1.9-neoforge-1.21.1.jar	createmechanicalcompanion	Create Mechanical Companion	
195	createmetallurgy-1.0.3-1.21.1.jar	createmetallurgy	Create Metallurgy	1.0.3
196	createmetalwork-2.0.0.jar	createmetalwork	Create: Metalwork	2.0.0
197	createmissiles-1.0.3+neoforge-1.21.1.jar	createmissiles	Create Missiles	1.0.3
198	createnuclear-1.3.2-beta.3-neoforge.jar	createnuclear	Create Nuclear	1.3.2-beta.3
